nimi,id,muuttuja
Savonlinna,242,73
Kitee,097,90
Kesälahti,388,96
Kerimäki,386,95
Punkaharju,497,111
Savonranta,527,111
Enonkoski,010,96
Ruokolahti,231,91
Imatra,050,93
Joutseno,358,115
Ylämaa,606,103
Virolahti,302,97
Miehikkälä,157,95
Pornainen,203,110
Askola,006,106
Pukkila,207,96
Mäntsälä,166,102
Orimattila,177,91
Myrskylä,165,103
Artjärvi,323,122
Lapinjärvi,127,108
Liljendal,438,104
Loviisa,145,101
Elimäki,330,103
Kouvola,109,122
Kuusankoski,418,104
Jaala,355,95
Pertunmaa,193,107
Iitti,046,107
Nastola,618,106
Lahti,124,89
Kärkölä,121,82
Hollola,036,109
Sysmä,263,96
Asikkala,005,116
Luhanka,146,96
Kuhmoinen,113,104
Muurame,163,90
Korpilahti,404,97
Säynätsalo,550,91
Toivakka,275,110
Leivonmäki,436,92
Hartola,029,100
Joutsa,060,98
Kangasniemi,073,105
Hirvensalmi,035,90
Valkeala,578,92
Luumäki,150,96
Savitaipale,241,118
Suomenniemi,543,117
Ristiina,514,107
Lemi,133,91
Taipalsaari,265,87
Puumala,210,111
Sulkava,259,107
Juva,063,92
Joroinen,059,111
Rantasalmi,221,88
Leppävirta,136,85
Tuusniemi,278,116
Nilsiä,464,95
Varpaisjärvi,583,96
Siilinjärvi,249,86
Maaninka,446,113
Lapinlahti,128,83
Iisalmi,045,111
Suonenjoki,262,94
Karttula,378,96
Hankasalmi,026,131
Rautalampi,224,104
Konnevesi,104,97
Laukaa,132,117
Jyväskylän mlk,360,81
Jyväskylä,064,109
Petäjävesi,194,97
Uurainen,285,99
Saarijärvi,235,113
Viitasaari,300,110
Kannonkoski,075,100
Kivijärvi,100,106
Kinnula,095,104
Pihtipudas,198,106
Keitele,086,112
Vesanto,295,94
Tervo,270,96
Pielavesi,196,107
Kiuruvesi,099,97
Pyhäntä,214,110
Piippola,490,99
Pyhäjärvi,213,102
Haapajärvi,020,110
Reisjärvi,227,96
Nivala,171,90
Haapavesi,021,103
Kärsämäki,122,93
Pulkkila,496,110
Rantsila,507,112
Vihanti,587,100
Lumijoki,147,97
Liminka,140,110
Muhos,159,101
Kestilä,387,95
Utajärvi,283,95
Vaala,288,97
Vieremä,298,105
Sonkajärvi,256,98
Rautavaara,225,96
Sotkamo,257,109
Ristijärvi,229,93
